Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Russian Federation,European Region of WHO,Eastern Europe,2018,44,29-10-18,04-11-18,3,2039,0,2,0,0,0,2,0,0,0,0,2,2,No Report
Russian Federation,European Region of WHO,Eastern Europe,2018,45,05-11-18,11-11-18,0,2221,0,0,0,,0,0,0,0,0,0,0,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2018,46,12-11-18,18-11-18,3,2654,0,4,2,0,0,6,0,0,0,0,6,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2018,47,19-11-18,25-11-18,0,2647,0,4,4,,0,8,0,0,0,0,8,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2018,48,26-11-18,02-12-18,15,2542,0,22,7,0,0,29,0,0,2,2,31,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2018,49,03-12-18,09-12-18,13,2506,0,18,16,0,3,37,0,0,2,2,39,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2018,50,10-12-18,16-12-18,8,2749,0,20,18,0,0,38,0,0,11,11,49,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2018,51,17-12-18,23-12-18,24,2857,0,56,55,0,0,111,0,0,2,2,113,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2018,52,24-12-18,30-12-18,21,2550,0,101,105,0,4,210,0,0,5,5,215,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,1,31-12-18,06-01-19,,767,0,26,22,,1,49,0,0,7,7,56,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,2,07-01-19,13-01-19,19,2256,0,214,140,0,14,368,0,0,6,6,374,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,3,14-01-19,20-01-19,79,3839,0,425,302,0,52,779,0,0,13,13,792,1,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,4,21-01-19,27-01-19,79,4703,0,693,406,0,163,1262,0,0,13,13,1275,1,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,5,28-01-19,03-02-19,2,5417,0,1001,569,0,182,1752,0,0,9,9,1761,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,6,04-02-19,10-02-19,73,7186,0,1238,805,0,170,2213,0,0,10,10,2223,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,7,11-02-19,17-02-19,36,7638,0,1065,866,0,324,2255,0,0,22,22,2277,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,8,18-02-19,24-02-19,85,7613,0,1161,985,0,344,2490,0,0,19,19,2509,,No Report
